City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
267,Gunjur,GM,82.47,broken clouds,13.2019,-16.7339,Kuba Lodge
270,Praia,CV,81.14,broken clouds,14.9215,-23.5087,LT Aparthotel
271,Algiers,DZ,80.42,broken clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
273,Kanniyakumari,IN,82.31,overcast clouds,8.0833,77.5667,Sparsa
274,Krasnotorka,UA,79.21,overcast clouds,48.682,37.5327,Pansionat Paradiz
275,Margate,GB,80.46,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
276,Lasa,IT,82.02,clear sky,46.6166,10.7002,Pension Feldgärtenhof
277,Shiggaon,IN,77.5,overcast clouds,15.0,75.2333,Munshi enterprises
280,Muros,ES,86.09,few clouds,42.7762,-9.0603,Apartment Av. Castelao
283,Ginda,IN,76.48,scattered clouds,30.6945,78.4932,Bal uma sankar hotel and restaurant
284,Kumluca,TR,77.47,clear sky,36.3703,30.2869,TurkuazKöy
291,Aksu,CN,81.66,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
293,Savannah Bight,HN,81.0,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
294,Matara,LK,81.95,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
295,Shahrud,IR,83.93,clear sky,36.4182,54.9763,Royal Hotel
301,Vikulovo,RU,79.3,scattered clouds,56.8167,70.6107,"Ooo ""Sistema Stroy"""
303,Muisne,EC,75.92,overcast clouds,0.6,-80.0333,Quinta Samay
304,Gobindpur,IN,81.88,light rain,22.6333,86.0667,Thakur Hotel
307,Zambezi,ZM,81.12,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
311,Itaberaba,BR,75.79,overcast clouds,-12.5275,-40.3069,Araújo Hotel
312,Kalmunai,LK,87.49,overcast clouds,7.4167,81.8167,VS Villa
315,Yugorsk,RU,78.49,overcast clouds,61.3133,63.3319,Arkobaleno Mini-hotel
317,Maku,IR,86.02,clear sky,39.2911,44.4521,Maku Tourist Hotel
318,Kochi,IN,78.78,overcast clouds,9.9399,76.2602,Hotel Abad
321,Chadiza,ZM,75.33,scattered clouds,-14.0678,32.4392,Sankhani Guest House
322,Mangan,IN,79.93,overcast clouds,27.5167,88.5333,Hotel Mout View
326,Natal,BR,79.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
327,Gat,IL,83.79,clear sky,31.61,34.7642,OlusHome
330,Nurota,UZ,89.69,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
332,Yalutorovsk,RU,82.38,few clouds,56.6536,66.3006,Vorobynoe plato
333,Yar-Sale,RU,77.27,few clouds,66.8333,70.8333,Yalemd
336,Lokhvytsya,UA,76.59,moderate rain,50.3678,33.2602,Ukraine
337,Domoni,KM,78.44,broken clouds,-12.2569,44.5319,Al Djadid
341,Mitsamiouli,KM,78.26,clear sky,-11.3847,43.2844,Foyer ADM
346,Hauterive,FR,86.02,clear sky,46.0901,3.4459,Aletti Palace Hotel
350,Methoni,GR,79.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
355,Kandry,RU,80.87,broken clouds,54.5667,54.1167,Prometey Ooo Oao Stroneg
359,Salalah,OM,88.59,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
365,Areia Branca,BR,83.41,scattered clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
368,Yuzhno-Sukhokumsk,RU,85.95,clear sky,44.6581,45.6436,Gostinitsa Kvankhidatli
370,Chimoio,MZ,76.96,clear sky,-19.1164,33.4833,Predio Livraria Ahmed
372,Kollam,IN,84.07,overcast clouds,8.8833,76.6,Nani Hotels and Resorts
377,Mount Pleasant,US,75.18,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
383,El Tigre,VE,77.65,broken clouds,8.8875,-64.2454,Hotel Santa Cruz
384,Port Blair,IN,82.92,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
385,Pointe-Noire,CG,82.47,broken clouds,-4.7761,11.8635,Kactus Lodge
386,Pemba,MZ,78.17,clear sky,-12.974,40.5178,Guesthouse Samotina
393,Dingle,PH,79.47,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
395,Solvychegodsk,RU,77.56,overcast clouds,61.3305,46.9156,"Vychegda, Gostinitsa"
396,Megion,RU,82.42,broken clouds,61.0296,76.1136,Komfort Hotel
399,Lisakovsk,KZ,85.06,scattered clouds,52.5369,62.4936,Gostinitsa Lisakovsk
400,Ombessa,CM,85.37,overcast clouds,4.603,11.2565,Hotel Elma**
401,Lethem,GY,79.21,few clouds,3.3803,-59.7968,Savannah Inn
402,Quelimane,MZ,79.61,clear sky,-17.8786,36.8883,Hotel Flamingo
404,The Valley,AI,83.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
407,Yarim,YE,77.11,overcast clouds,14.298,44.3779,وليد المسوري ابو اسد
410,Quatre Cocos,MU,77.11,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
411,Binga,ZW,75.4,clear sky,-17.6203,27.3414,Lakeview Inn Binga
415,Maragogi,BR,79.54,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
417,Urucara,BR,77.7,overcast clouds,-2.5364,-57.76,Hotel japa
419,Renukut,IN,79.99,heavy intensity rain,24.2,83.0333,Sony Service Center
420,Hambantota,LK,89.94,few clouds,6.1241,81.1185,Bungalow 63
422,Dondo,MZ,78.31,clear sky,-19.6094,34.7431,Arco Iris
423,Ciudad Bolivar,VE,78.67,overcast clouds,8.1222,-63.5497,Hotel Edi
426,Berezniki,RU,76.64,overcast clouds,59.4152,56.8124,Express Apartments Mira 110
429,Mantua,IT,88.09,scattered clouds,45.1667,10.7833,Hotel la Favorita
433,Sao Raimundo Das Mangabeiras,BR,84.92,scattered clouds,-7.0219,-45.4811,Hotel Tropical
436,Gorgan,IR,87.76,scattered clouds,36.8387,54.4348,Khayyam Motel
437,Srivardhan,IN,81.88,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
