City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Bredasdorp,ZA,-34.5322,20.0403,67.32,56,5,5.75,clear sky
200,Chateauroux,FR,46.8167,1.7,84.2,34,0,5.75,clear sky
201,Fredericton,CA,45.9454,-66.6656,56.44,82,20,1.01,few clouds
202,Puerto Narino,CO,-3.7703,-70.3831,71.55,90,77,1.1,broken clouds
203,Umm Kaddadah,SD,13.6017,26.6876,103.17,13,85,13.13,overcast clouds
204,Wilmington,US,34.2257,-77.9447,71.85,88,100,1.01,overcast clouds
205,Santa Rosa,PH,14.3122,121.1114,85.1,76,66,8.99,broken clouds
206,Barao De Melgaco,BR,-16.1944,-55.9675,76.06,57,3,1.34,clear sky
207,La Montanita,CO,1.4766,-75.4398,69.12,94,99,0.94,overcast clouds
208,Muli,MV,2.9167,73.5667,83.39,73,51,11.92,broken clouds
209,Puerto Quijarro,BO,-17.7833,-57.7667,70.56,61,0,1.61,clear sky
210,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,78,20,4.03,few clouds
211,Maues,BR,-3.3836,-57.7186,79.25,80,92,1.39,overcast clouds
212,Belchatow,PL,51.3688,19.3567,72.1,50,1,7.81,clear sky
213,Panormos,GR,35.4182,24.6909,76.86,68,5,9.31,clear sky
214,Mumford,GH,5.2618,-0.759,84.78,68,53,11.52,broken clouds
215,Namibe,AO,-15.1961,12.1522,95.63,43,0,11.5,clear sky
216,Sao Felix Do Xingu,BR,-6.6447,-51.995,80.29,60,8,1.63,clear sky
217,Shirdi,IN,19.7667,74.4833,89.76,47,87,20.42,overcast clouds
218,Hargeysa,SO,9.56,44.065,89.04,23,100,16.62,overcast clouds
219,Ustyuzhna,RU,58.8394,36.4321,70.29,58,84,9.71,broken clouds
220,Varhaug,NO,58.6147,5.6457,54.95,86,100,18.9,overcast clouds
221,Sudzha,RU,51.1976,35.2726,76.3,60,64,4.09,broken clouds
222,Zabol,AF,32.25,67.25,92.19,4,0,15.57,clear sky
223,Bathsheba,BB,13.2167,-59.5167,81.21,65,40,18.41,scattered clouds
224,Tocopilla,CL,-22.092,-70.1979,64.17,60,56,2.3,broken clouds
225,Mahibadhoo,MV,3.7833,72.9667,83.03,75,58,13.51,broken clouds
226,George Town,MY,5.4112,100.3354,85.98,76,20,5.01,moderate rain
227,Rio Gallegos,AR,-51.6226,-69.2181,35.65,80,0,18.41,clear sky
228,Nuuk,GL,64.1835,-51.7216,40.87,75,29,5.01,scattered clouds
229,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,56.37,67,2,1.34,clear sky
230,Jardim,BR,-21.4803,-56.1381,63.3,63,0,3.09,clear sky
231,Suez,EG,29.9737,32.5263,90.86,22,0,11.48,clear sky
232,Arbazh,RU,57.6804,48.3065,72.19,76,46,9.44,scattered clouds
233,Taltal,CL,-25.4,-70.4833,59.04,73,43,3.31,scattered clouds
